questionnaire_id,global_id,1_1_0,1_1_1,1_1_2,1_1_3,1_1_4,1_1_5,1_1_6,1_1_7,1_1_8,1_1_9,1_1_10,2_1_0,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_1_6,2_1_7,3_1,3_2_0,3_2_1,3_2_2
None,None,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1
None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,1,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,1,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0
None,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1
None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,1,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0
None,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0
None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0
None,None,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1,0,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0
None,None,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1
None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0
None,None,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
None,None,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0
None,None,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
None,None,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,8,0,1,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
None,None,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,1,0
None,None,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0
None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
None,None,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0
None,None,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,1,0
None,None,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0
None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,0,1,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0
None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0
None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0
None,None,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0
None,None,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10,1,1,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,1,0
None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0
None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,1,0
None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
None,None,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0
None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0
