,Nivel_seguridad,Formacion,Justificacion,Truco
0,4,['Biomedicas'],['Telequinesis'],['Si']
1,10,['Ciencias Sociales'],['No lo se'],['No se']
2,0,[],[],[]
3,7,['Artes'],['Magnetismo'],['No']
4,8,['Artes'],['Presion'],['No se']
5,7,['Ciencias Sociales'],['Magnetismo'],['Si']
6,5,['Ciencias Sociales'],['Magnetismo'],['No se']
7,6,['Psicologia'],['Electricidad'],['No']
8,2,['Ninguna'],['Fisica Cuantica'],['No']
9,10,['Ciencias Sociales'],"['Magnetismo', 'Electricidad']",['No']
10,5,['Ciencias Sociales'],['Magnetismo'],['Si']
11,2,['Economicas'],['Presion'],['Si']
12,2,['Ninguna'],['Magnetismo'],['No se']
13,8,['Biomedicas'],['Magnetismo'],['Si']
14,8,['Fisica'],['Magnetismo'],['Si']
15,10,['Artes'],['Presion'],['No se']
16,8,['Otro'],['Magnetismo'],['No']
17,10,['Ciencias Exactas'],['Presion'],['No se']
18,4,['Artes'],['Fisica Cuantica'],['Si']
19,1,['Fisica'],['Calor'],['No']
20,5,[],['No lo se'],['No']
21,5,['Derecho'],['Magnetismo'],['No']
22,7,"['Economicas', 'Otra Carrera']","['Magnetismo', 'Energia Cosmica']",['No']
23,7,['Ninguna'],['Fisica Cuantica'],['Si']
24,1,['Ciencias Exactas'],['Energia Cosmica'],['Si']
25,10,['Biomedicas'],['Presion'],['Si']
26,4,['Biomedicas'],['Magnetismo'],['Si']
27,6,['Biomedicas'],['Electricidad'],['Si']
28,10,['Biomedicas'],['Presion'],['No']
29,6,['Otra Carrera'],['Magnetismo'],['No']
30,3,['Otro'],['No lo se'],"['No', 'No se']"
31,0,['Economicas'],['No lo se'],['No se']
32,10,['Ciencias Exactas'],['Presion'],['No']
33,5,['Psicologia'],['Calor'],['No se']
34,6,['Psicologia'],['Presion'],['No se']
35,9,['Artes'],['Presion'],['Si']
36,4,['Ciencias Sociales'],['Calor'],['No']
37,5,['Ninguna'],['Telequinesis'],['Si']
38,10,['Otra Carrera'],['Magnetismo'],['No']
39,3,['Otra Carrera'],['Calor'],['No']
40,10,['Otra Carrera'],[],[]
41,8,['Biomedicas'],['Magnetismo'],['No']
42,0,['Ninguna'],['No lo se'],['Si']
43,0,['Economicas'],['No lo se'],['Si']
44,4,['Otra Carrera'],['Calor'],['No']
45,10,['Economicas'],['Magnetismo'],['Si']
46,7,['Ciencias Exactas'],"['Magnetismo', 'Electricidad']",['No']
47,7,['Otro'],['Energia Cosmica'],['No']
48,5,['Economicas'],['Presion'],['Si']
49,5,"['Otra Carrera', 'Otro']",['Magnetismo'],['No']
50,0,['Ciencias Exactas'],['No lo se'],['No']
