,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1,Telequinesis1,Magnetismo1,Cosmica1,Cuantica1,Presion1,Aura1,Electricidad1,Poderes1,NoLoSe1,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2,Telequinesis2,Magnetismo2,Cosmica2,Cuantica2,Presion2,Aura2,Electricidad2,Poderes2,NoLoSe2,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen
0,['35166'],1003,18-24,Cs_Medicas,Secundaria,Podria,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,4,7,3,6,5,4,7,4,7,0,0,7,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,5,7,2,7,5,3,7,4,7,0,Si,2,3,2,3,3,1,1,2,1,2,2,3,2,1,4,3,2,2,data_CBCBio07
1,['38928'],1003,18-24,Cs_Medicas,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,3,7,4,6,6,2,5,5,7,1,0,8,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,NS/NC,3,2,0,3,1,0,0,0,0,2,1,3,3,2,3,3,2,3,data_CBCBio07
2,['18316'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Es,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,7,0,4,4,5,0,7,7,7,7,0,10,NS/NC,NS/NC,Es,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,2,5,0,2,0,0,0,7,NoSe,3,1,2,4,1,1,1,2,1,2,3,3,1,1,Null,NS/NC,4,3,data_CBCBio07
3,['36677'],1003,18-24,Cs_Medicas,Univ en curso,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,3,0,3,0,0,0,0,0,0,0,0,4,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,0,0,0,4,0,0,0,0,0,0,Si,2,3,2,4,4,2,2,3,1,3,3,3,2,4,4,4,2,2,data_CBCBio07
4,['16256'],1003,18-24,Cs_Medicas,Secundaria,NS/NC,NS/NC,Podria,NS/NC,Podria,Podria,NS/NC,Es,NS/NC,NS/NC,4,7,1,6,1,3,6,0,7,4,0,10,Podria,NS/NC,Es,NS/NC,Podria,Podria,NS/NC,Podria,NS/NC,NS/NC,4,7,1,7,2,2,6,2,7,4,NoSe,3,3,3,4,2,2,1,4,2,3,1,3,2,1,3,4,1,2,data_CBCBio07
5,['63909'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Es,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,1,7,7,4,7,7,7,7,7,7,0,10,NS/NC,NS/NC,Es,Es,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,1,0,7,7,7,4,7,7,No,1,3,0,3,2,2,0,3,3,3,3,2,2,0,3,1,1,3,data_CBCBio07
6,['26775'],1003,18-24,Otra,Univ en curso,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,3,7,4,7,5,6,7,7,7,7,0,1,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,6,7,4,7,6,6,7,7,7,7,Si,4,4,4,3,2,0,0,4,4,3,1,4,2,0,3,4,0,2,data_CBCBio07
7,['17520'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,Es,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,7,3,1,7,7,5,7,7,7,7,0,8,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,7,2,1,7,7,4,7,7,7,7,NoSe,3,3,3,Null,1,2,1,2,3,1,1,3,3,1,4,4,1,1,data_CBCBio07
8,['16051'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,6,6,1,7,7,7,7,2,7,7,0,9,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,7,5,1,7,7,7,7,5,7,7,Null,1,3,3,2,0,0,0,3,0,0,3,2,3,1,1,1,1,3,data_CBCBio07
9,['58579'],1003,18-24,Cs_Medicas,Univ en curso,Podria,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,3,7,3,6,5,3,7,1,7,0,0,7,Podria,Podria,NS/NC,Podria,Podria,Podria,Es,Podria,Podria,NS/NC,4,6,0,3,4,3,1,3,0,0,NoSe,4,4,Null,3,NS/NC,1,3,2,0,1,1,3,2,4,1,3,1,0,data_CBCBio07
