,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen,Justificacion1,Podria1,Justificacion2,Podria2
0,['35166'],1003,18-24,Cs_Medicas,Secundaria,0.5714285714285714,1.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.5714285714285714,1.0,0.5714285714285714,1.0,Ns/Nc,0,7,0.7142857142857143,1.0,0.2857142857142857,1.0,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,1.0,Ns/Nc,Si,2,3,2,3,3,1,1,2,1,2,2,3,2,1,4,3,2,2,data_CBCBio07,Magnetismo,"['Calor', 'Presion', 'Electricidad']",Magnetismo,"['Presion', 'Electricidad']"
1,['38928'],1003,18-24,Cs_Medicas,Univ en curso,0.42857142857142855,1.0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.7142857142857143,1.0,0.14285714285714285,0,8,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,NS/NC,3,2,0,3,1,0,0,0,0,2,1,3,3,2,3,3,2,3,data_CBCBio07,Presion,['Calor'],Presion,['Calor']
2,['18316'],1003,18-24,Cs_Medicas,Univ en curso,1.0,Ns/Nc,0.5714285714285714,0.5714285714285714,0.7142857142857143,Ns/Nc,1.0,1.0,1.0,1.0,0,10,Ns/Nc,Ns/Nc,0.2857142857142857,0.7142857142857143,Ns/Nc,0.2857142857142857,Ns/Nc,Ns/Nc,Ns/Nc,1.0,NoSe,3,1,2,4,1,1,1,2,1,2,3,3,1,1,Null,NS/NC,4,3,data_CBCBio07,Magnetismo,['Cosmica'],Magnetismo,['Cosmica']
3,['36677'],1003,18-24,Cs_Medicas,Univ en curso,0.42857142857142855,Ns/Nc,0.42857142857142855,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,4,Ns/Nc,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Si,2,3,2,4,4,2,2,3,1,3,3,3,2,4,4,4,2,2,data_CBCBio07,Calor,"['Magnetismo', 'Aura']",NoLoSe,['Cosmica']
4,['16256'],1003,18-24,Cs_Medicas,Secundaria,0.5714285714285714,1.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.8571428571428571,Ns/Nc,1.0,0.5714285714285714,0,10,0.5714285714285714,1.0,0.14285714285714285,1.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.2857142857142857,1.0,0.5714285714285714,NoSe,3,3,3,4,2,2,1,4,2,3,1,3,2,1,3,4,1,2,data_CBCBio07,Electricidad,"['Magnetismo', 'Cuantica', 'Presion']",Magnetismo,"['Calor', 'Cuantica', 'Presion', 'Electricidad']"
5,['63909'],1003,18-24,Cs_Medicas,Univ en curso,0.14285714285714285,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0,10,1.0,1.0,0.14285714285714285,Ns/Nc,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,No,1,3,0,3,2,2,0,3,3,3,3,2,2,0,3,1,1,3,data_CBCBio07,Magnetismo,['Cosmica'],Null,[]
6,['26775'],1003,18-24,Otra,Univ en curso,0.42857142857142855,1.0,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,1.0,0,1,0.8571428571428571,1.0,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,Si,4,4,4,3,2,0,0,4,4,3,1,4,2,0,3,4,0,2,data_CBCBio07,Calor,['Magnetismo'],Magnetismo,['Calor']
7,['17520'],1003,18-24,Cs_Medicas,Univ en curso,1.0,0.42857142857142855,0.14285714285714285,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0,8,1.0,0.2857142857142857,0.14285714285714285,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,NoSe,3,3,3,Null,1,2,1,2,3,1,1,3,3,1,4,4,1,1,data_CBCBio07,Null,[],Ns/Nc,[]
8,['16051'],1003,18-24,Cs_Medicas,Univ en curso,0.8571428571428571,0.8571428571428571,0.14285714285714285,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0,9,1.0,0.7142857142857143,0.14285714285714285,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,Null,1,3,3,2,0,0,0,3,0,0,3,2,3,1,1,1,1,3,data_CBCBio07,Magnetismo,['Electricidad'],Magnetismo,['Electricidad']
9,['58579'],1003,18-24,Cs_Medicas,Univ en curso,0.42857142857142855,1.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.42857142857142855,1.0,0.14285714285714285,1.0,Ns/Nc,0,7,0.5714285714285714,0.8571428571428571,Ns/Nc,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,Ns/Nc,Ns/Nc,NoSe,4,4,Null,3,NS/NC,1,3,2,0,1,1,3,2,4,1,3,1,0,data_CBCBio07,Electricidad,"['Calor', 'Magnetismo', 'Presion']",Aura,"['Calor', 'Telequinesis', 'Cosmica', 'Cuantica', 'Presion', 'Electricidad', 'Poderes']"
10,['33204'],1003,18-24,Cs_Medicas,Univ en curso,0.7142857142857143,0.8571428571428571,0.8571428571428571,Ns/Nc,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,1.0,0.14285714285714285,0,4,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,No,4,4,2,3,2,2,0,3,0,0,0,4,0,0,0,0,0,0,data_CBCBio07,Cuantica,[],Calor,[]
11,['31662'],1003,18-24,Agro/Vet,Univ en curso,0.5714285714285714,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,0,7,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,NS/NC,4,3,1,4,2,2,1,1,1,2,1,2,1,0,0,1,2,1,data_CBCBio07,Magnetismo,"['Calor', 'Presion', 'Electricidad']",Ns/Nc,['Magnetismo']
12,['65517'],1003,18-24,Cs_Medicas,NS/NC,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,5,0.7142857142857143,Ns/Nc,0.7142857142857143,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,No,3,3,1,4,1,1,1,4,0,1,1,1,3,3,3,3,3,3,data_CBCBio07,Presion,['Calor'],Magnetismo,['Calor']
13,['20277'],1003,18-24,Cs_Medicas,Univ en curso,0.8571428571428571,1.0,0.2857142857142857,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.14285714285714285,0,9,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.14285714285714285,No,3,4,3,3,2,1,1,4,3,2,2,4,3,1,4,3,3,1,data_CBCBio07,Magnetismo,['NoLoSe'],Ns/Nc,[]
